CES UnitId,NPCC Full Name,Type,Zone,Installation Date,Retirement Date,Summer Capacity (MW),Winter Capacity (MW),ISO_Q_ID
8132,Shawnee Gas Hill County,NGT,NORTH,2024-06-01,12/31/2100,900.0,928.0,18INR0004
8133,Halyard Henderson,NGT,NORTH,2050-01-01,12/31/2100,430.0,450.0,16INR0045
8146,Eagle Mountain 1,STg200,NORTH,2040-01-01,5/1/2005,112.0,112.0,
8147,Eagle Mountain 2,STg200,NORTH,2040-01-01,5/1/2005,100.0,100.0,
8168,Ft Phantom 1,STg200,WEST,2030-01-01,12/31/2070,158.0,158.0,
8169,Ft Phantom 2,STg+,WEST,2030-01-01,12/31/2070,204.0,204.0,
8234,Lake Pauline 1,STg100,WEST,2050-01-01,1/1/2009,12.0,12.0,
8261,Morgan Creek 6 II,STg+,WEST,2031-01-01,10/1/2007,457.0,457.0,
8353,San Angelo 1,CC,WEST,2030-01-01,12/31/2045,21.0,25.0,
8463,Texas Big Spring,WND,WEST,1999-01-01,12/31/2070,34.32,34.32,
8464,Culberson County Wind 1,WND,WEST,2006-01-01,1/1/2000,175.0,175.0,
8465,Delaware Mountain Wind Farm,WND,WEST,2001-01-01,11/25/2013,28.5,28.5,
8466,Desert Sky Wind Farm 1,WND,WEST,2001-01-01,12/31/2070,26.0,26.0,17INR0070
8467,Desert Sky Wind Farm 2,WND,WEST,2001-01-01,12/31/2070,135.0,135.0,17INR0070
8468,Green Mountain Energy 1,WND,WEST,2003-01-01,12/31/2070,99.0,99.0,
8469,Green Mountain Energy 2,WND,WEST,2003-01-01,12/31/2070,61.0,61.0,
8470,King Mountain NE,WND,WEST,2001-01-01,12/31/2070,79.3,79.3,
8471,King Mountain NW,WND,WEST,2001-01-01,12/31/2070,79.3,79.3,
8472,King Mountain SE,WND,WEST,2001-01-01,12/31/2070,40.3,40.3,
8473,King Mountain SW,WND,WEST,2001-01-01,12/31/2070,79.3,79.3,
8474,Kunitz Wind,WND,WEST,1995-01-01,11/25/2013,39.8,39.8,
8475,New Wind McCamey,WND,WEST,2010-01-01,1/1/2000,100.0,100.0,
8476,West Texas Wind Energy,WND,WEST,1999-01-01,11/15/2019,74.2,74.2,
8477,Indian Mesa Wind Farm,WND,WEST,2001-01-01,12/31/2070,82.5,82.5,18INR0069
